0,58, Self-employed-not incorporated,4,34, Some college but no degree,0, Divorced, Construction, Precision production craft & repair, White, All other, Male, Children or Armed Forces,0,0,0, Head of household, Householder, Householder,1053.55, MSA to MSA, Same county, Same county, No, Yes,1, United-States, United-States, United-States, Native- Born in the United States,0,2,52,94, - 50000.
52854,21, Private,33,19, 9th grade,0, Never married, Retail trade, Sales, Black, All other, Female, Children or Armed Forces,0,0,0, Nonfiler, Householder, Householder,4255.54, MSA to MSA, Different county same state, Different county same state, No, No,0, United-States, United-States, United-States, Native- Born in the United States,0,2,0,94, - 50000.
52883,48, Self-employed-not incorporated,33,2, High school graduate,0, Married-civilian spouse present, Retail trade, Executive admin and managerial, White, All other, Female, Children or Armed Forces,0,0,0, Joint both under 65, Spouse of householder, Spouse of householder,1757.67, MSA to MSA, Different state same division, Different state in Midwest, No, No,1, United-States, United-States, United-States, Native- Born in the United States,0,2,52,94, - 50000.
52899,25, Private,25,26, 9th grade,0, Never married, Manufacturing-nondurable goods, Adm support including clerical, White, Mexican (Mexicano), Female, Children or Armed Forces,0,0,0, Head of household, Householder, Householder,1021.25, MSA to MSA, Same county, Same county, No, Yes,1, Mexico, Mexico, Mexico, Foreign born- Not a citizen of U S ,0,2,8,94, - 50000.
52909,28, Private,39,29, High school graduate,0, Married-civilian spouse present, Personal services except private HH, Other service, White, All other, Female, Children or Armed Forces,0,0,0, Joint both under 65, Spouse of householder, Spouse of householder,2213.33, MSA to MSA, Different county same state, Different county same state, No, No,6, United-States, United-States, United-States, Native- Born in the United States,0,2,42,94, - 50000.
52947,24, Private,28,29, High school graduate,0, Never married, Manufacturing-nondurable goods, Other service, Black, All other, Male, Children or Armed Forces,0,0,0, Single, Child 18+ never marr Not in a subfamily, Child 18 or older,684.58, MSA to MSA, Different state same division, Different state in South, No, No,3, United-States, United-States, United-States, Native- Born in the United States,0,2,26,94, - 50000.
52959,47, Private,29,15, High school graduate,0, Married-civilian spouse present, Transportation, Technicians and related support, White, All other, Male, Children or Armed Forces,0,0,0, Joint both under 65, Householder, Householder,854.57, MSA to MSA, Same county, Same county, No, No,5, United-States, United-States, United-States, Native- Born in the United States,0,2,30,94, 50000+.
52971,26, Private,32,5, Bachelors degree(BA AB BS),0, Never married, Wholesale trade, Professional specialty, White, All other, Male, Children or Armed Forces,0,0,0, Single, Child 18+ never marr Not in a subfamily, Child 18 or older,2113.33, MSA to MSA, Same county, Same county, No, No,1, United-States, United-States, United-States, Native- Born in the United States,0,2,52,94, - 50000.
53009,31, Private,42,30, High school graduate,0, Married-civilian spouse present, Medical except hospital, Other service, Amer Indian Aleut or Eskimo, All other, Female, Children or Armed Forces,0,0,0, Joint both under 65, Spouse of householder, Spouse of householder,295.3, NonMSA to nonMSA, Same county, Same county, No, No,3, United-States, United-States, United-States, Native- Born in the United States,0,2,42,94, - 50000.
53120,32, Local government,35,12, Some college but no degree,0, Married-spouse absent, Finance insurance and real estate, Professional specialty, White, All other, Male, Children or Armed Forces,0,0,220, Single, Nonfamily householder, Householder,1691.57, MSA to MSA, Same county, Same county, No, Yes,6, United-States, El-Salvador, Germany, Native- Born abroad of American Parent(s),0,2,52,94, - 50000.
53132,17, Private,33,19, 11th grade,0, Never married, Retail trade, Sales, White, All other, Female, Children or Armed Forces,0,0,0, Nonfiler, Child <18 never marr not in subfamily, Child under 18 never married,1885.28, MSA to MSA, Different region, Different state in Midwest, No, No,0, United-States, United-States, United-States, Native- Born in the United States,0,2,0,94, - 50000.
53143,19, Private,39,12, Some college but no degree,0, Never married, Personal services except private HH, Professional specialty, Black, All other, Male, Children or Armed Forces,0,0,0, Nonfiler, Child 18+ never marr Not in a subfamily, Child 18 or older,366.42, MSA to MSA, Same county, Same county, No, No,4, United-States, United-States, United-States, Native- Born in the United States,0,2,8,94, - 50000.
53156,22, Private,33,26, Bachelors degree(BA AB BS),0, Married-civilian spouse present, Retail trade, Adm support including clerical, White, All other, Female, Children or Armed Forces,0,0,0, Joint both under 65, Spouse of householder, Spouse of householder,375.26, NonMSA to nonMSA, Same county, Same county, No, No,3, United-States, United-States, United-States, Native- Born in the United States,0,2,52,94, - 50000.
53165,34, Private,30,17, Associates degree-academic program,0, Divorced, Communications, Sales, Black, All other, Female, Children or Armed Forces,0,0,0, Head of household, Householder, Householder,1723.42, MSA to MSA, Different state same division, Different state in South, No, Yes,5, United-States, United-States, United-States, Native- Born in the United States,0,2,52,94, - 50000.
53260,33, Private,25,18, Bachelors degree(BA AB BS),0, Never married, Manufacturing-nondurable goods, Sales, White, All other, Female, Children or Armed Forces,0,0,0, Single, Nonfamily householder, Householder,1218.29, MSA to MSA, Different county same state, Different county same state, No, Yes,4, United-States, United-States, United-States, Native- Born in the United States,2,2,44,94, - 50000.
53261,20, Federal government,43,30, High school graduate,800, Never married, Education, Other service, White, Puerto Rican, Female, Children or Armed Forces,0,0,0, Single, Secondary individual, Nonrelative of householder,1449.56, MSA to MSA, Same county, Same county, No, No,3, Puerto-Rico, Puerto-Rico, United-States, Native- Born in the United States,0,2,42,94, - 50000.
53264,21, Private,8,36, High school graduate,0, Married-civilian spouse present, Manufacturing-durable goods, Machine operators assmblrs & inspctrs, White, All other, Male, Children or Armed Forces,0,0,0, Joint both under 65, Householder, Householder,1841.15, MSA to MSA, Same county, Same county, No, No,1, United-States, United-States, United-States, Native- Born in the United States,0,2,52,94, - 50000.
53268,24, Private,33,29, Some college but no degree,233, Married-civilian spouse present, Retail trade, Other service, White, All other, Female, Children or Armed Forces,0,0,0, Joint both under 65, Spouse of householder, Spouse of householder,2601.28, MSA to MSA, Different county same state, Different county same state, No, No,3, United-States, United-States, United-States, Native- Born in the United States,2,2,20,94, - 50000.
53279,48, Private,42,30, High school graduate,0, Divorced, Medical except hospital, Other service, White, All other, Female, Children or Armed Forces,0,0,0, Single, Secondary individual, Nonrelative of householder,486.9, MSA to MSA, Same county, Same county, No, No,6, United-States, United-States, United-States, Native- Born in the United States,0,2,52,94, - 50000.
53289,29, Private,24,17, Bachelors degree(BA AB BS),0, Married-civilian spouse present, Manufacturing-nondurable goods, Sales, White, All other, Male, Children or Armed Forces,0,0,2500, Joint both under 65, Spouse of householder, Spouse of householder,3937.9, MSA to MSA, Different county same state, Different county same state, No, No,4, United-States, United-States, United-States, Native- Born in the United States,2,2,52,94, - 50000.
53304,28, Federal government,47,3, Some college but no degree,0, Married-civilian spouse present, Public administration, Executive admin and managerial, White, Mexican-American, Male, Children or Armed Forces,0,0,0, Joint both under 65, Householder, Householder,1162.51, MSA to MSA, Different region, Different state in West, No, No,6, United-States, United-States, United-States, Native- Born in the United States,2,2,52,94, - 50000.
53366,17, Private,40,10, 11th grade,0, Married-civilian spouse present, Entertainment, Professional specialty, White, All other, Female, Children or Armed Forces,0,0,0, Joint both under 65, Spouse of householder, Spouse of householder,1113.85, NonMSA to nonMSA, Same county, Same county, No, No,2, United-States, United-States, United-States, Native- Born in the United States,0,2,12,94, - 50000.
53396,46, Private,41,8, Some college but no degree,0, Divorced, Hospital services, Professional specialty, White, All other, Female, Children or Armed Forces,0,0,0, Single, Nonfamily householder, Householder,1258.76, MSA to MSA, Different county same state, Different county same state, No, Yes,5, United-States, United-States, United-States, Native- Born in the United States,0,2,22,94, - 50000.
53405,55, Private,39,32, Some college but no degree,1200, Married-civilian spouse present, Personal services except private HH, Other service, White, All other, Male, Children or Armed Forces,0,1977,0, Joint both under 65, Householder, Householder,237.76, MSA to MSA, Same county, Same county, No, No,2, ?, United-States, United-States, Native- Born in the United States,0,2,44,94, - 50000.
53413,26, Private,30,12, Some college but no degree,0, Never married, Communications, Professional specialty, Other, NA, Male, Children or Armed Forces,0,0,0, Single, Nonfamily householder, Householder,1741.13, MSA to MSA, Different county same state, Different county same state, No, Yes,3, United-States, United-States, United-States, Native- Born in the United States,0,2,52,94, - 50000.
53443,44, Local government,31,41, Some college but no degree,0, Married-civilian spouse present, Utilities and sanitary services, Handlers equip cleaners etc , Black, All other, Male, Children or Armed Forces,0,0,0, Joint both under 65, Householder, Householder,2240.86, MSA to MSA, Different county same state, Different county same state, No, No,6, United-States, United-States, United-States, Native- Born in the United States,0,2,52,94, - 50000.
53498,29, Self-employed-not incorporated,45,11, Prof school degree (MD DDS DVM LLB JD),0, Married-civilian spouse present, Other professional services, Professional specialty, White, All other, Female, Children or Armed Forces,0,0,250, Joint both under 65, Spouse of householder, Spouse of householder,1532.4, MSA to MSA, Different county same state, Different county same state, No, Yes,2, United-States, United-States, United-States, Native- Born in the United States,0,2,12,94, - 50000.
53500,16, Private,33,29, 7th and 8th grade,0, Never married, Retail trade, Other service, White, All other, Male, Children or Armed Forces,0,0,0, Nonfiler, Grandchild <18 never marr not in subfamily, Other relative of householder,1544.07, MSA to MSA, Same county, Same county, No, No,0, United-States, United-States, United-States, Native- Born in the United States,0,2,0,94, - 50000.
53542,53, Self-employed-incorporated,32,16, Bachelors degree(BA AB BS),0, Married-civilian spouse present, Wholesale trade, Sales, White, All other, Male, Children or Armed Forces,0,0,0, Joint both under 65, Householder, Householder,1431.63, MSA to MSA, Different region, Different state in South, No, Yes,2, United-States, United-States, United-States, Native- Born in the United States,0,2,52,94, 50000+.
53561,37, Private,44,26, Associates degree-occup /vocational,0, Never married, Social services, Adm support including clerical, Other, NA, Female, Children or Armed Forces,4101,0,0, Single, Nonfamily householder, Householder,1529.26, MSA to MSA, Same county, Same county, No, No,4, United-States, United-States, United-States, Native- Born in the United States,0,2,52,94, - 50000.
53563,28, Self-employed-not incorporated,2,43, Associates degree-occup /vocational,0, Married-civilian spouse present, Agriculture, Farming forestry and fishing, White, All other, Male, Children or Armed Forces,0,0,0, Joint both under 65, Householder, Householder,385.57, NonMSA to nonMSA, Same county, Same county, No, No,1, United-States, Germany, United-States, Native- Born in the United States,0,2,52,94, - 50000.
53585,26, Private,1,44, 5th or 6th grade,0, Never married, Agriculture, Farming forestry and fishing, Black, NA, Male, Children or Armed Forces,0,0,0, Single, Other Rel 18+ never marr not in subfamily, Other relative of householder,2805.61, MSA to MSA, Same county, Same county, No, Yes,6, Mexico, Mexico, Mexico, Foreign born- Not a citizen of U S ,0,2,52,94, - 50000.
53589,30, Private,39,31, High school graduate,0, Separated, Personal services except private HH, Other service, White, All other, Female, Children or Armed Forces,0,0,0, Head of household, RP of unrelated subfamily, Nonrelative of householder,1967.43, MSA to MSA, Different county same state, Different county same state, No, Yes,6, United-States, United-States, United-States, Native- Born in the United States,0,2,52,94, - 50000.
53607,31, Private,4,34, High school graduate,0, Never married, Construction, Precision production craft & repair, White, All other, Male, Children or Armed Forces,0,0,0, Single, Secondary individual, Nonrelative of householder,2799.29, MSA to MSA, Same county, Same county, No, No,4, United-States, United-States, United-States, Native- Born in the United States,0,2,46,94, 50000+.
53625,27, State government,41,7, Doctorate degree(PhD EdD),0, Never married, Hospital services, Professional specialty, White, All other, Male, Children or Armed Forces,0,0,5000, Single, Nonfamily householder, Householder,1974.91, MSA to MSA, Different region, Different state in South, No, Yes,6, United-States, United-States, United-States, Native- Born in the United States,0,2,30,94, - 50000.
53647,28, Self-employed-not incorporated,2,43, High school graduate,0, Married-civilian spouse present, Agriculture, Farming forestry and fishing, White, All other, Male, Children or Armed Forces,0,0,0, Joint both under 65, Spouse of householder, Spouse of householder,1445.97, MSA to MSA, Different state same division, Different state in Midwest, No, No,1, United-States, United-States, United-States, Native- Born in the United States,0,2,52,94, - 50000.
53676,26, Federal government,43,24, Associates degree-occup /vocational,0, Never married, Education, Adm support including clerical, Other, All other, Male, Children or Armed Forces,0,0,0, Single, Secondary individual, Nonrelative of householder,2882.51, MSA to MSA, Same county, Same county, No, No,1, United-States, United-States, United-States, Native- Born in the United States,0,2,52,94, - 50000.
53681,23, Private,39,29, Some college but no degree,0, Never married, Personal services except private HH, Other service, White, All other, Female, Children or Armed Forces,0,0,0, Single, Nonfamily householder, Householder,2096.19, MSA to MSA, Different county same state, Different county same state, No, No,1, United-States, United-States, United-States, Native- Born in the United States,2,2,26,94, - 50000.
53689,31, Private,11,15, Masters degree(MA MS MEng MEd MSW MBA),0, Married-civilian spouse present, Manufacturing-durable goods, Technicians and related support, White, All other, Male, Children or Armed Forces,0,1902,0, Joint both under 65, Householder, Householder,1223.31, MSA to MSA, Same county, Same county, No, Yes,6, United-States, United-States, United-States, Native- Born in the United States,0,2,52,94, - 50000.
53706,38, Private,21,36, Some college but no degree,0, Married-civilian spouse present, Manufacturing-nondurable goods, Machine operators assmblrs & inspctrs, Black, NA, Female, Children or Armed Forces,0,0,0, Joint both under 65, Spouse of householder, Spouse of householder,973.5, MSA to MSA, Same county, Same county, No, Yes,4, Philippines, Philippines, Philippines, Foreign born- Not a citizen of U S ,0,2,26,94, - 50000.
53713,23, Private,4,34, High school graduate,900, Never married, Construction, Precision production craft & repair, White, All other, Male, Children or Armed Forces,0,0,0, Head of household, Householder, Householder,2095.47, MSA to MSA, Different division same region, Different state in South, No, No,3, United-States, United-States, Outlying-U S (Guam USVI etc), Native- Born in Puerto Rico or U S Outlying,0,2,52,94, - 50000.
53723,52, Private,12,26, Bachelors degree(BA AB BS),0, Married-civilian spouse present, Manufacturing-durable goods, Adm support including clerical, White, All other, Female, Children or Armed Forces,0,0,0, Joint both under 65, Spouse of householder, Spouse of householder,6896.3, MSA to MSA, Different region, Different state in South, No, Yes,1, United-States, United-States, United-States, Native- Born in the United States,2,2,36,94, - 50000.
53734,45, Private,1,34, 12th grade no diploma,0, Divorced, Agriculture, Precision production craft & repair, White, All other, Male, Children or Armed Forces,0,0,0, Head of household, RP of unrelated subfamily, Nonrelative of householder,1720.26, MSA to MSA, Same county, Same county, No, No,1, United-States, United-States, United-States, Native- Born in the United States,0,2,52,94, - 50000.
53752,26, Self-employed-not incorporated,38,2, Some college but no degree,0, Never married, Business and repair services, Executive admin and managerial, White, All other, Male, Children or Armed Forces,0,0,220, Single, Nonfamily householder, Householder,3172.29, MSA to MSA, Different region, Different state in South, No, Yes,1, United-States, United-States, United-States, Native- Born in the United States,0,2,52,94, - 50000.
53778,39, Private,17,37, High school graduate,575, Married-civilian spouse present, Manufacturing-durable goods, Machine operators assmblrs & inspctrs, White, All other, Female, Children or Armed Forces,0,0,0, Joint both under 65, Spouse of householder, Spouse of householder,833.33, Not identifiable, Different county same state, Different county same state, No, No,3, United-States, United-States, United-States, Native- Born in the United States,0,2,39,94, - 50000.
53799,23, Private,33,2, High school graduate,0, Separated, Retail trade, Executive admin and managerial, White, All other, Female, Children or Armed Forces,0,0,0, Head of household, Householder, Householder,4287.44, MSA to MSA, Same county, Same county, No, No,3, United-States, United-States, United-States, Native- Born in the United States,0,2,52,94, - 50000.
53800,43, Private,33,38, Some college but no degree,0, Separated, Retail trade, Transportation and material moving, White, All other, Male, Children or Armed Forces,4934,0,94, Head of household, Householder, Householder,3266.7, MSA to MSA, Same county, Same county, No, No,6, United-States, United-States, United-States, Native- Born in the United States,0,2,52,94, 50000+.
53816,24, Private,32,38, High school graduate,0, Never married, Wholesale trade, Transportation and material moving, White, All other, Male, Children or Armed Forces,0,0,0, Nonfiler, Child 18+ never marr Not in a subfamily, Child 18 or older,2158.95, MSA to MSA, Same county, Same county, No, No,0, United-States, United-States, United-States, Native- Born in the United States,0,2,0,94, - 50000.
53828,23, Private,4,34, 10th grade,0, Never married, Construction, Precision production craft & repair, White, All other, Male, Children or Armed Forces,0,0,0, Single, Nonfamily householder, Householder,611.21, MSA to MSA, Same county, Same county, No, No,3, United-States, United-States, United-States, Native- Born in the United States,0,2,50,94, - 50000.
53834,39, Local government,31,34, High school graduate,1898, Married-civilian spouse present, Utilities and sanitary services, Precision production craft & repair, White, All other, Male, Children or Armed Forces,0,0,0, Joint both under 65, Householder, Householder,843.93, MSA to MSA, Same county, Same county, No, No,6, United-States, United-States, United-States, Native- Born in the United States,0,2,52,94, - 50000.
53863,38, Private,30,23, High school graduate,0, Divorced, Communications, Adm support including clerical, White, All other, Female, Children or Armed Forces,0,0,0, Single, Nonfamily householder, Householder,2021.31, MSA to MSA, Different county same state, Different county same state, No, No,6, United-States, United-States, United-States, Native- Born in the United States,2,2,52,94, - 50000.
53890,42, Private,39,29, 1st 2nd 3rd or 4th grade,0, Separated, Personal services except private HH, Other service, White, Mexican (Mexicano), Female, Children or Armed Forces,0,0,0, Head of household, Householder, Householder,1274.19, MSA to MSA, Same county, Same county, No, Yes,6, Mexico, Mexico, Mexico, Foreign born- U S citizen by naturalization,0,2,52,94, - 50000.
54003,33, Self-employed-incorporated,24,17, Bachelors degree(BA AB BS),0, Married-civilian spouse present, Manufacturing-nondurable goods, Sales, White, All other, Male, Children or Armed Forces,0,0,75, Joint both under 65, Householder, Householder,1369.14, MSA to MSA, Same county, Same county, No, No,1, United-States, United-States, United-States, Native- Born in the United States,2,2,52,94, - 50000.
54005,24, Private,33,29, Some college but no degree,0, Married-civilian spouse present, Retail trade, Other service, Asian or Pacific Islander, All other, Female, Children or Armed Forces,0,0,0, Joint both under 65, Child 18+ ever marr RP of subfamily, Child 18 or older,2343.54, MSA to MSA, Same county, Same county, No, No,4, United-States, United-States, United-States, Native- Born in the United States,2,2,52,94, - 50000.
54019,23, Private,12,36, High school graduate,600, Married-civilian spouse present, Manufacturing-durable goods, Machine operators assmblrs & inspctrs, Other, Mexican (Mexicano), Male, Children or Armed Forces,0,0,0, Joint both under 65, Householder, Householder,928.83, MSA to MSA, Same county, Same county, No, No,4, Mexico, Mexico, Mexico, Foreign born- Not a citizen of U S ,0,2,52,94, - 50000.
54037,44, Private,32,16, Bachelors degree(BA AB BS),0, Married-civilian spouse present, Wholesale trade, Sales, White, All other, Female, Children or Armed Forces,0,0,0, Joint both under 65, Spouse of householder, Spouse of householder,1498.88, NonMSA to nonMSA, Same county, Same county, No, No,2, United-States, United-States, United-States, Native- Born in the United States,0,2,52,94, - 50000.
54056,70, Private,43,31, 5th or 6th grade,0, Widowed, Education, Other service, White, Puerto Rican, Female, Children or Armed Forces,0,0,0, Single, Householder, Householder,1191.0, MSA to MSA, Different county same state, Different county same state, No, Yes,6, Puerto-Rico, Puerto-Rico, Puerto-Rico, Native- Born in Puerto Rico or U S Outlying,0,2,52,94, - 50000.
54066,23, Private,17,37, 12th grade no diploma,0, Never married, Manufacturing-durable goods, Machine operators assmblrs & inspctrs, White, Mexican (Mexicano), Male, Children or Armed Forces,0,0,0, Single, Other Rel 18+ never marr not in subfamily, Other relative of householder,2838.62, MSA to MSA, Same county, Same county, No, Yes,1, Honduras, Mexico, Mexico, Foreign born- Not a citizen of U S ,0,2,32,94, - 50000.
54069,32, Private,6,37, High school graduate,0, Married-civilian spouse present, Manufacturing-durable goods, Machine operators assmblrs & inspctrs, Asian or Pacific Islander, All other, Male, Children or Armed Forces,0,0,0, Joint both under 65, Householder, Householder,2365.62, MSA to MSA, Same county, Same county, No, Yes,6, ?, ?, ?, Foreign born- U S citizen by naturalization,0,2,52,94, - 50000.
54096,22, Private,30,2, Associates degree-academic program,0, Never married, Communications, Executive admin and managerial, White, All other, Male, Children or Armed Forces,0,0,0, Single, Nonfamily householder, Householder,1958.06, MSA to nonMSA, Different county same state, Different county same state, No, No,3, United-States, United-States, United-States, Native- Born in the United States,2,2,52,94, - 50000.
54115,33, Private,43,26, 12th grade no diploma,0, Married-civilian spouse present, Education, Adm support including clerical, White, All other, Female, Children or Armed Forces,0,0,0, Joint both under 65, Spouse of householder, Spouse of householder,1771.14, MSA to MSA, Same county, Same county, No, No,6, United-States, United-States, United-States, Native- Born in the United States,0,2,52,94, - 50000.
54151,59, Private,33,44, High school graduate,0, Married-spouse absent, Retail trade, Farming forestry and fishing, White, Central or South American, Male, Children or Armed Forces,0,0,0, Single, Secondary individual, Nonrelative of householder,2083.86, MSA to MSA, Same county, Same county, No, No,3, ?, ?, ?, Foreign born- Not a citizen of U S ,0,2,52,94, - 50000.
54190,30, Private,42,2, Bachelors degree(BA AB BS),0, Married-civilian spouse present, Medical except hospital, Executive admin and managerial, White, All other, Female, Children or Armed Forces,0,0,400, Joint both under 65, Spouse of householder, Spouse of householder,1359.06, MSA to MSA, Same county, Same county, No, No,6, United-States, United-States, United-States, Native- Born in the United States,0,2,52,94, - 50000.
54214,44, Private,39,31, 1st 2nd 3rd or 4th grade,0, Married-civilian spouse present, Personal services except private HH, Other service, Asian or Pacific Islander, All other, Female, Children or Armed Forces,0,0,0, Joint both under 65, Householder, Householder,523.17, MSA to MSA, Same county, Same county, No, No,6, Vietnam, Vietnam, Vietnam, Foreign born- Not a citizen of U S ,0,2,23,94, - 50000.
54253,31, Private,43,10, Some college but no degree,0, Married-civilian spouse present, Education, Professional specialty, White, All other, Female, Children or Armed Forces,0,0,0, Joint both under 65, Spouse of householder, Spouse of householder,1781.53, NonMSA to nonMSA, Same county, Same county, No, Yes,4, United-States, United-States, United-States, Native- Born in the United States,0,2,30,94, - 50000.
54277,24, Private,38,33, Some college but no degree,0, Married-civilian spouse present, Business and repair services, Precision production craft & repair, White, All other, Male, Children or Armed Forces,2407,0,0, Joint both under 65, Householder, Householder,357.64, Not identifiable, Different division same region, Different state in West, No, No,1, United-States, United-States, United-States, Native- Born in the United States,2,2,52,94, - 50000.
54306,54, Private,37,3, Some college but no degree,0, Married-civilian spouse present, Business and repair services, Executive admin and managerial, White, All other, Male, Children or Armed Forces,7688,0,0, Joint both under 65, Householder, Householder,5589.54, MSA to MSA, Same county, Same county, No, No,6, United-States, Canada, Canada, Native- Born abroad of American Parent(s),2,2,52,94, 50000+.
54307,20, Private,2,44, High school graduate,0, Never married, Agriculture, Farming forestry and fishing, White, All other, Male, Children or Armed Forces,0,0,0, Single, Child 18+ never marr Not in a subfamily, Child 18 or older,2007.56, MSA to MSA, Different region, Different state in South, No, No,4, United-States, United-States, United-States, Native- Born in the United States,2,2,35,94, - 50000.
54321,25, Private,11,22, Some college but no degree,0, Married-civilian spouse present, Manufacturing-durable goods, Adm support including clerical, Black, All other, Male, Children or Armed Forces,0,1902,0, Joint both under 65, Householder, Householder,1844.98, MSA to MSA, Same county, Same county, No, No,6, United-States, United-States, United-States, Native- Born in the United States,0,2,52,94, 50000+.
54331,30, Private,32,2, Some college but no degree,0, Married-civilian spouse present, Wholesale trade, Executive admin and managerial, White, All other, Male, Children or Armed Forces,0,0,4500, Joint both under 65, Other Rel 18+ ever marr RP of subfamily, Other relative of householder,1704.14, MSA to MSA, Different county same state, Different county same state, No, Yes,6, United-States, United-States, United-States, Native- Born in the United States,2,2,52,94, - 50000.
54334,25, Private,45,3, Bachelors degree(BA AB BS),0, Married-civilian spouse present, Other professional services, Executive admin and managerial, White, Puerto Rican, Male, Children or Armed Forces,0,0,0, Joint both under 65, Householder, Householder,1047.4, Abroad to MSA, Abroad, Abroad, No, No,6, Puerto-Rico, Puerto-Rico, Puerto-Rico, Native- Born in Puerto Rico or U S Outlying,0,2,52,94, - 50000.
54348,37, Private,4,34, High school graduate,0, Married-civilian spouse present, Construction, Precision production craft & repair, Asian or Pacific Islander, All other, Male, Children or Armed Forces,0,0,0, Joint both under 65, Householder, Householder,3598.44, MSA to MSA, Different region, Different state in Midwest, No, No,6, South Korea, South Korea, South Korea, Foreign born- Not a citizen of U S ,0,2,52,94, - 50000.
54369,34, Private,42,13, High school graduate,0, Never married, Medical except hospital, Technicians and related support, White, Mexican-American, Male, Children or Armed Forces,0,0,0, Single, Secondary individual, Nonrelative of householder,1904.88, MSA to MSA, Same county, Same county, No, Yes,6, United-States, United-States, United-States, Native- Born in the United States,0,2,52,94, - 50000.
54420,27, Self-employed-not incorporated,39,32, High school graduate,0, Married-civilian spouse present, Personal services except private HH, Other service, Black, All other, Male, Children or Armed Forces,0,0,0, Joint both under 65, Householder, Householder,2578.06, MSA to MSA, Same county, Same county, No, Yes,1, United-States, United-States, United-States, Native- Born in the United States,0,2,52,94, 50000+.
54482,48, Self-employed-not incorporated,40,12, High school graduate,0, Divorced, Entertainment, Professional specialty, White, All other, Male, Children or Armed Forces,0,0,0, Single, Nonfamily householder, Householder,1681.01, NonMSA to nonMSA, Same county, Same county, No, No,1, United-States, United-States, United-States, Native- Born in the United States,0,2,50,94, - 50000.
54506,40, Private,11,37, Some college but no degree,0, Married-civilian spouse present, Manufacturing-durable goods, Machine operators assmblrs & inspctrs, White, All other, Male, Children or Armed Forces,2580,0,0, Joint both under 65, Householder, Householder,803.22, MSA to MSA, Different region, Different state in Midwest, No, No,4, United-States, United-States, United-States, Native- Born in the United States,0,2,26,94, - 50000.
54512,43, Private,23,36, Bachelors degree(BA AB BS),0, Divorced, Manufacturing-nondurable goods, Machine operators assmblrs & inspctrs, White, All other, Male, Children or Armed Forces,0,0,0, Single, Other Rel 18+ ever marr not in subfamily, Other relative of householder,3696.49, MSA to MSA, Different county same state, Different county same state, No, No,1, United-States, United-States, United-States, Native- Born in the United States,0,2,48,94, - 50000.
54544,49, Private,34,3, Some college but no degree,0, Married-civilian spouse present, Finance insurance and real estate, Executive admin and managerial, White, All other, Male, Children or Armed Forces,0,0,0, Joint both under 65, Householder, Householder,273.46, MSA to MSA, Same county, Same county, No, No,3, United-States, United-States, United-States, Native- Born in the United States,0,2,34,94, - 50000.
54575,26, Private,3,35, Associates degree-occup /vocational,0, Married-civilian spouse present, Mining, Precision production craft & repair, White, All other, Male, Children or Armed Forces,0,2002,0, Joint both under 65, Householder, Householder,329.32, NonMSA to nonMSA, Same county, Same county, No, No,2, United-States, United-States, United-States, Native- Born in the United States,0,2,52,94, - 50000.
54579,43, Private,45,12, Masters degree(MA MS MEng MEd MSW MBA),0, Married-civilian spouse present, Other professional services, Professional specialty, White, All other, Male, Children or Armed Forces,0,0,0, Joint both under 65, Householder, Householder,1462.1, MSA to MSA, Same county, Same county, No, Yes,1, United-States, United-States, United-States, Native- Born in the United States,0,2,52,94, - 50000.
54594,23, Private,4,34, High school graduate,0, Separated, Construction, Precision production craft & repair, White, Mexican-American, Male, Children or Armed Forces,0,0,0, Nonfiler, Child 18+ ever marr Not in a subfamily, Child 18 or older,1269.2, MSA to MSA, Different county same state, Different county same state, No, Yes,0, Mexico, Mexico, United-States, Native- Born in the United States,0,2,0,94, - 50000.
54596,53, Private,42,26, High school graduate,0, Married-civilian spouse present, Medical except hospital, Adm support including clerical, White, All other, Female, Children or Armed Forces,0,0,0, Joint both under 65, Spouse of householder, Spouse of householder,1599.49, MSA to MSA, Same county, Same county, No, No,4, United-States, United-States, United-States, Native- Born in the United States,0,2,52,94, - 50000.
54636,58, Private,23,2, Bachelors degree(BA AB BS),0, Divorced, Manufacturing-nondurable goods, Executive admin and managerial, White, NA, Male, Children or Armed Forces,0,0,0, Single, Nonfamily householder, Householder,1887.49, MSA to MSA, Same county, Same county, No, No,4, United-States, United-States, United-States, Native- Born in the United States,0,2,52,94, 50000+.
54641,44, Private,35,2, Associates degree-occup /vocational,0, Divorced, Finance insurance and real estate, Executive admin and managerial, White, All other, Female, Children or Armed Forces,0,0,0, Single, Householder, Householder,1838.42, MSA to MSA, Different division same region, Different state in West, No, Yes,4, United-States, United-States, United-States, Native- Born in the United States,2,2,30,94, - 50000.
54643,41, Self-employed-not incorporated,37,23, Some college but no degree,0, Married-civilian spouse present, Business and repair services, Adm support including clerical, White, All other, Female, Children or Armed Forces,0,0,0, Joint both under 65, Spouse of householder, Spouse of householder,1875.67, MSA to MSA, Different county same state, Different county same state, No, No,1, United-States, United-States, United-States, Native- Born in the United States,0,2,52,94, - 50000.
54667,22, Private,42,30, Associates degree-occup /vocational,0, Married-civilian spouse present, Medical except hospital, Other service, White, All other, Female, Children or Armed Forces,0,0,0, Joint both under 65, Spouse of householder, Spouse of householder,4042.75, NonMSA to MSA, Different county same state, Different county same state, No, No,2, United-States, United-States, United-States, Native- Born in the United States,0,2,52,94, - 50000.
